product_id,product_name,category,discounted_price,actual_price,discount_percentage,rating,rating_count,about_product,review_content
B000000000,Sample Product 0,Home|Kitchen|Appliances,₹2608,₹7679,49%,4.9,"46,490",Great quality product with nice features.,Really good for the price. Fast shipping.
B000000001,Sample Product 1,Clothing|Men|Shirts,₹2879,₹2060,75%,3.8,"44,911",Great quality product with nice features.,"Amazing product, totally worth it!"
B000000002,Sample Product 2,Electronics|TV|Smart,₹1024,₹1766,67%,2.2,"24,882",Great quality product with nice features.,Do not buy this waste of money.
B000000003,Sample Product 3,Home|Kitchen|Appliances,₹3056,₹4138,77%,2.2,"35,423",Great quality product with nice features.,"Terrible, broke after one day."
B000000004,Sample Product 4,Home|Kitchen|Appliances,₹1681,₹9441,23%,4.9,"11,985",Great quality product with nice features.,"Terrible, broke after one day."
B000000005,Sample Product 5,Clothing|Men|Shirts,₹3424,₹3927,51%,2.9,"23,777",Great quality product with nice features.,Do not buy this waste of money.
B000000006,Sample Product 6,Electronics|TV|Smart,₹4585,₹5280,18%,2.3,"17,756",Great quality product with nice features.,Do not buy this waste of money.
B000000007,Sample Product 7,Electronics|TV|Smart,₹355,₹2427,42%,3.8,"7,136",Great quality product with nice features.,"Amazing product, totally worth it!"
B000000008,Sample Product 8,Home|Kitchen|Appliances,₹4904,₹2856,57%,3.9,321,Great quality product with nice features.,"It is okay, nothing special."
B000000009,Sample Product 9,Computers|Laptops|Gaming,₹1938,₹5290,65%,3.9,"37,423",Great quality product with nice features.,"Terrible, broke after one day."
B000000010,Sample Product 10,Home|Kitchen|Appliances,₹2044,₹806,40%,2.8,"28,636",Great quality product with nice features.,"Amazing product, totally worth it!"
B000000011,Sample Product 11,Home|Kitchen|Appliances,₹109,₹8479,44%,2.0,"21,685",Great quality product with nice features.,Do not buy this waste of money.
B000000012,Sample Product 12,Home|Kitchen|Appliances,₹2971,₹4165,34%,4.9,"23,239",Great quality product with nice features.,"Amazing product, totally worth it!"
B000000013,Sample Product 13,Home|Kitchen|Appliances,₹897,₹7557,13%,2.8,"21,890",Great quality product with nice features.,Do not buy this waste of money.
B000000014,Sample Product 14,Clothing|Men|Shirts,₹1115,₹1161,68%,4.0,"30,314",Great quality product with nice features.,Really good for the price. Fast shipping.
B000000015,Sample Product 15,Electronics|TV|Smart,₹1924,₹5144,37%,4.1,"32,536",Great quality product with nice features.,Do not buy this waste of money.
B000000016,Sample Product 16,Clothing|Men|Shirts,₹4569,₹9003,56%,3.8,"48,900",Great quality product with nice features.,Do not buy this waste of money.
B000000017,Sample Product 17,Clothing|Men|Shirts,₹3236,₹3420,18%,2.9,"10,771",Great quality product with nice features.,Do not buy this waste of money.
B000000018,Sample Product 18,Clothing|Men|Shirts,₹2293,₹9774,79%,2.8,"39,322",Great quality product with nice features.,"It is okay, nothing special."
B000000019,Sample Product 19,Home|Kitchen|Appliances,₹323,₹9446,57%,3.8,"20,427",Great quality product with nice features.,Do not buy this waste of money.
B000000020,Sample Product 20,Computers|Laptops|Gaming,₹4258,₹6736,63%,4.6,"44,328",Great quality product with nice features.,"Terrible, broke after one day."
B000000021,Sample Product 21,Electronics|TV|Smart,₹4025,₹6578,45%,4.8,"41,778",Great quality product with nice features.,"Terrible, broke after one day."
B000000022,Sample Product 22,Computers|Laptops|Gaming,₹4884,₹852,72%,2.3,"46,251",Great quality product with nice features.,"Amazing product, totally worth it!"
B000000023,Sample Product 23,Clothing|Men|Shirts,₹4100,₹9594,72%,2.5,"7,499",Great quality product with nice features.,"It is okay, nothing special."
B000000024,Sample Product 24,Clothing|Men|Shirts,₹1733,₹7505,12%,4.8,"39,405",Great quality product with nice features.,"Amazing product, totally worth it!"
B000000025,Sample Product 25,Computers|Laptops|Gaming,₹2252,₹658,6%,4.2,"40,131",Great quality product with nice features.,"Terrible, broke after one day."
B000000026,Sample Product 26,Computers|Laptops|Gaming,₹610,₹1456,45%,4.6,"16,396",Great quality product with nice features.,"Terrible, broke after one day."
B000000027,Sample Product 27,Computers|Laptops|Gaming,₹484,₹2571,59%,2.6,"49,347",Great quality product with nice features.,Really good for the price. Fast shipping.
B000000028,Sample Product 28,Clothing|Men|Shirts,₹504,₹9095,20%,3.8,"2,538",Great quality product with nice features.,Do not buy this waste of money.
B000000029,Sample Product 29,Clothing|Men|Shirts,₹4713,₹3953,66%,4.1,"19,227",Great quality product with nice features.,"Terrible, broke after one day."
B000000030,Sample Product 30,Electronics|TV|Smart,₹4671,₹7175,52%,4.0,"15,217",Great quality product with nice features.,"Amazing product, totally worth it!"
B000000031,Sample Product 31,Electronics|TV|Smart,₹2100,₹1455,34%,3.2,"18,614",Great quality product with nice features.,"Amazing product, totally worth it!"
B000000032,Sample Product 32,Clothing|Men|Shirts,₹2856,₹6795,16%,2.0,"3,010",Great quality product with nice features.,Do not buy this waste of money.
B000000033,Sample Product 33,Computers|Laptops|Gaming,₹1768,₹2212,39%,3.7,"24,369",Great quality product with nice features.,Do not buy this waste of money.
B000000034,Sample Product 34,Computers|Laptops|Gaming,₹1560,₹5203,15%,2.8,"29,328",Great quality product with nice features.,Really good for the price. Fast shipping.
B000000035,Sample Product 35,Electronics|TV|Smart,₹3736,₹7063,68%,3.4,"14,210",Great quality product with nice features.,"It is okay, nothing special."
B000000036,Sample Product 36,Clothing|Men|Shirts,₹2824,₹9965,54%,4.9,"48,444",Great quality product with nice features.,"Amazing product, totally worth it!"
B000000037,Sample Product 37,Electronics|TV|Smart,₹4909,₹6131,25%,3.2,"15,030",Great quality product with nice features.,Do not buy this waste of money.
B000000038,Sample Product 38,Electronics|TV|Smart,₹4278,₹1894,73%,4.5,"2,078",Great quality product with nice features.,"Amazing product, totally worth it!"
B000000039,Sample Product 39,Home|Kitchen|Appliances,₹2148,₹9961,52%,2.6,"13,908",Great quality product with nice features.,Do not buy this waste of money.
B000000040,Sample Product 40,Home|Kitchen|Appliances,₹4246,₹5232,24%,4.0,"36,636",Great quality product with nice features.,"Terrible, broke after one day."
B000000041,Sample Product 41,Home|Kitchen|Appliances,₹4880,₹4214,71%,4.9,"48,921",Great quality product with nice features.,"Amazing product, totally worth it!"
B000000042,Sample Product 42,Computers|Laptops|Gaming,₹816,₹1029,48%,2.3,"4,874",Great quality product with nice features.,"Terrible, broke after one day."
B000000043,Sample Product 43,Clothing|Men|Shirts,₹4644,₹3458,37%,2.0,"8,636",Great quality product with nice features.,"Amazing product, totally worth it!"
B000000044,Sample Product 44,Clothing|Men|Shirts,₹4683,₹8404,77%,3.3,"33,066",Great quality product with nice features.,"It is okay, nothing special."
B000000045,Sample Product 45,Clothing|Men|Shirts,₹1923,₹4091,65%,2.3,"45,864",Great quality product with nice features.,Really good for the price. Fast shipping.
B000000046,Sample Product 46,Clothing|Men|Shirts,₹2181,₹7395,13%,4.2,"41,805",Great quality product with nice features.,"Terrible, broke after one day."
B000000047,Sample Product 47,Home|Kitchen|Appliances,₹3519,₹9631,72%,4.7,"33,784",Great quality product with nice features.,Do not buy this waste of money.
B000000048,Sample Product 48,Computers|Laptops|Gaming,₹1674,₹1025,39%,3.3,"34,153",Great quality product with nice features.,"It is okay, nothing special."
B000000049,Sample Product 49,Computers|Laptops|Gaming,₹349,₹6977,69%,2.8,"41,514",Great quality product with nice features.,"Amazing product, totally worth it!"
B000000050,Sample Product 50,Home|Kitchen|Appliances,₹773,₹501,12%,3.3,"29,093",Great quality product with nice features.,"Terrible, broke after one day."
B000000051,Sample Product 51,Computers|Laptops|Gaming,₹4633,₹874,49%,4.2,"17,654",Great quality product with nice features.,"Amazing product, totally worth it!"
B000000052,Sample Product 52,Home|Kitchen|Appliances,₹2265,₹5148,51%,2.0,"32,464",Great quality product with nice features.,"Amazing product, totally worth it!"
B000000053,Sample Product 53,Clothing|Men|Shirts,₹870,₹2865,44%,3.8,"34,029",Great quality product with nice features.,"Amazing product, totally worth it!"
